timestamp,server_cpu,server_mem_mb,server_threads,mysql_cpu,mysql_mem_mb,mysql_threads,system_cpu_user,system_cpu_system,system_cpu_idle,disk_read_kb,disk_write_kb
1763951275,72.1,0,9,0.6,389.53,38,0.75,0.00,98.88,0.00,0
1763951278,72.1,0,9,0.6,389.53,38,12.84,0.00,81.68,0.00,0
1763951281,72.2,0,9,0.6,389.53,38,13.68,0.00,81.01,0.00,0
1763951284,72.2,0,9,0.6,389.53,38,14.47,0.00,79.60,0.00,0
1763951287,72.3,0,9,0.6,389.53,38,14.10,0.00,80.30,0.00,0
1763951290,72.3,0,9,0.6,389.53,38,14.62,0.00,80.40,0.00,0
1763951293,72.4,0,9,0.6,389.53,38,14.43,0.00,79.46,0.00,0
1763951296,72.5,0,9,0.6,389.53,38,13.96,0.00,80.56,0.00,0
1763951300,72.5,0,9,0.6,389.53,38,14.45,0.00,79.97,0.00,0
1763951303,72.6,0,9,0.6,389.53,38,13.14,0.00,81.88,0.00,0
1763951306,72.6,0,9,0.6,389.53,38,13.98,0.00,81.01,0.00,0
1763951309,72.7,0,9,0.6,389.53,38,13.72,0.00,81.57,0.00,0
1763951312,72.8,0,9,0.6,389.53,38,13.78,0.00,81.00,0.00,0
1763951315,72.8,0,9,0.6,389.53,38,14.12,0.00,80.38,0.00,0
1763951318,72.9,0,9,0.6,389.53,38,14.38,0.00,81.07,0.00,0
1763951321,72.9,0,9,0.6,389.53,38,14.41,0.00,80.30,0.00,0
1763951324,73.0,0,9,0.6,389.53,38,13.71,0.00,82.00,0.00,0
1763951327,73.1,0,9,0.6,389.53,38,13.79,0.00,80.52,0.00,0
1763951331,73.1,0,9,0.6,389.53,38,14.16,0.00,80.09,0.00,0
1763951334,73.2,0,9,0.6,389.53,38,14.58,0.00,80.77,0.00,0
